Name,"Years active","Proven victims","Possible victims"
"Hughes, Philip Joseph",1972–1975,3,3+
"Hunter, Bert Leroy",1968–1988,3,3
"Hyatt, Terry",1979–1987,3,3+
"Irvin, Marvin",1979–1990,3,3
"Johansen, William",1933–1940,3,17
"Johnson, Alvin",1972–1983,3,3
"Johnson, Martha Ann",1977–1982,3,4
"Johnson, Matthew Steven",2000–2001,3,5
"Johnson, Raymond Eugene",1995–2007,3,3
"Jones, George Lamar",1972–1997,3,3+
"Jones, Jack Harold",1983–1995,3,3+
"Jones, Willie Ben",1980–1990,3,4
"Joubert, John",1982–1983,3,3
"Kallinger, Joseph",1974–1975,3,3
"Kaczynski, Ted",1978–1995,3,3
"Kee, Arohn",1991–1998,3,3+
"Keith, Leroy",1934–1956,3,3
"Kelley, John William",1986–1988,3,3
"Keyes, Israel",1990s–2012,3,11+
"Kinne, Sharon",1962–1964,3,3
"Koster, Brent",1972,3,3
"Kudzinowski, Peter",1924–1928,3,3
"Lassor, Raymond",1984,3,3
"Liberty, Robert",1966–1970,3,3
"Lipscomb, Nathaniel",1958–1959,3,4
"Lucas, David Allen",1979–1984,3,6
"Lucas, Henry Lee",1960–1983,3,200+
"Lunz, Christopher",2003–2009,3,20
"Lynch, Franklin",1987,3,13
"Madison, Michael",2012–2013,3,3+
"Mailhot, Jeffrey",2003–2004,3,3
"Marcelin, Harvey",1963–2022,3,3
"Marquette, Richard Laurence",1961–1975,3,3
"Martin, James David",1989–2005,3,3
"Maupin, Thomas",1988–2001,3,3
"Maury, Robert",1985–1987,3,3+
"Mayrand, Edward",1983–1994,3,3
"McCoy, Stephen",1980–1981,3,3
"McFadden, Reginald",1969–1994,3,4+
"McGhee, Timothy",1997–2001,3,12
"McKnight, Gregory",1992–2000,3,3
"McWatters, Eugene",2004,3,3
"Melanson, Roy",1974–1988,3,5+
"Mills, Lawrence Paul",2017,3,4
"Morrison, Kelsie",1921–1922,3,3
"Morton, David Bruce",1983–1990,3,3+
"Moseley, Winston",1963–1964,3,3
"Mullins, Michael",1999–2012,3,3
"Nardello, Antonio",1884–1885,3,3
"Nixon, Robert",1937–1938,3,5
"Northcott, Gordon Stewart",1926–1928,3,20
"O'Dell, Diane",1982–1985,3,4
"Page, Ivan",1998–2001,3,3
"Paster, James",1980–1981,3,5
"Peete, Louise",1913–1944,3,3+
"Perkins, Reginald",1980–2000,3,6
"Perry, Donna",1990,3,3+
"Pruitt, Pleasant",1888–1902,3,3
"Ray, Clifton",1987–1994,3,6+
"Reed, Todd Alan",1999,3,5
"Rhoades, Paul Ezra",1987,3,7+
