cue,total,cue_mfd2,response_mfd1,cue_mfd1,response_mfd2,cue_hte,response_hte,response_emotion,cue_emotion,cue_moral,response_moral,link,pos,previous_link,lower,is_synonym,degree
national,63.0,0,5,28,4,0,2,1,0.0,0,2,0.12709137395654396,n s a,0.050505050505050504,True,,99.0
nationalism,73.0,0,4,23,4,0,3,2,0.0,0,2,0.16753541426404783,n,0.08080808080808081,True,,99.0
nationalist,69.0,0,5,31,5,0,3,2,0.0,0,3,0.2238625759513548,n s,0.14432989690721648,True,,97.0
nationality,57.0,0,5,21,3,0,1,1,0.0,0,2,0.06951330179815902,n,0.02040816326530612,True,,98.0
native,93.0,0,2,0,6,33,2,2,0.0,0,1,0.0249145250808108,n s a,0.0,True,,200.0
nativity,44.0,0,4,0,4,0,0,0,0.0,0,3,0.08813145477743137,n,0.041666666666666664,True,,96.0
natural,40.0,0,2,0,3,20,3,0,0.0,0,1,0.04593352856567618,n s a,0.02040816326530612,True,,98.0
nature,45.0,0,3,0,1,0,2,0,0.0,0,0,0.03421389615514564,n,0.0,True,,100.0
nausea,63.0,10,3,0,2,0,2,3,10.0,0,0,0.029827471087295897,n,0.0,True,,99.0
nautical,16.0,0,0,0,0,0,1,0,0.0,0,0,0.004261989705277573,a,0.0,True,,98.0
naval,28.0,0,0,0,0,0,0,0,0.0,0,0,0.02533860284480748,a,0.0,True,,97.0
navel,29.0,0,0,0,1,0,0,0,0.0,0,0,0.004148619230487538,n,0.0,True,,98.0
